old_url,new_url,match_type,status,notes
https://degreecraft.com/,https://education.skeure.com/,exact,ready,Homepage to homepage
https://degreecraft.com/universities,https://education.skeure.com/universities/,exact,hold-pending-verification,HELD 2026-07-25: destination has no `verified` programme records (evidence/programme-ledger.csv is 0 verified / 44 stale / 23 unverified / 2 disputed). Redirecting legacy authority into an unverified destination would launder stale claims into the new domain. Activate only once the destination's records reach `verified`.
https://degreecraft.com/courses,https://education.skeure.com/programs/,closest-equivalent,hold-pending-verification,"""Courses"" listing maps to the new cross-university Programs/fee-comparison page, the closest current equivalent HELD 2026-07-25: destination has no `verified` programme records (evidence/programme-ledger.csv is 0 verified / 44 stale / 23 unverified / 2 disputed). Redirecting legacy authority into an unverified destination would launder stale claims into the new domain. Activate only once the destination's records reach `verified`."
https://degreecraft.com/about,https://education.skeure.com/about/,exact,ready,
https://degreecraft.com/contact,https://education.skeure.com/contact/,exact,ready,
https://degreecraft.com/blog,https://education.skeure.com/blog/,exact,ready,
https://degreecraft.com/blog/top-skills-online-courses-2024,,rebuild-first,rebuild-required,"No equivalent article exists on the new site (only one post: choosing-the-right-online-degree); redirect to the blog index for now only if this old URL is confirmed to have real search traffic in GSC — otherwise let it 404 and retire rather than sending traffic to an unrelated page DESTINATION CLEARED 2026-07-25: new_url intentionally left blank so this row cannot be activated by a bulk export. 4 old article URLs pointing at /blog/ would be a many-to-one soft-404 pattern. Decide per-URL from real GSC data: rebuild the article, or let it 404 and retire."
https://degreecraft.com/blog/online-learning-vs-traditional-classrooms,,rebuild-first,rebuild-required,"Same as above DESTINATION CLEARED 2026-07-25: new_url intentionally left blank so this row cannot be activated by a bulk export. 4 old article URLs pointing at /blog/ would be a many-to-one soft-404 pattern. Decide per-URL from real GSC data: rebuild the article, or let it 404 and retire."
https://degreecraft.com/blog/self-paced-learning-why-it-works,,rebuild-first,rebuild-required,"Same as above DESTINATION CLEARED 2026-07-25: new_url intentionally left blank so this row cannot be activated by a bulk export. 4 old article URLs pointing at /blog/ would be a many-to-one soft-404 pattern. Decide per-URL from real GSC data: rebuild the article, or let it 404 and retire."
https://degreecraft.com/blog/role-of-technology-in-modern-education,,rebuild-first,rebuild-required,"Same as above DESTINATION CLEARED 2026-07-25: new_url intentionally left blank so this row cannot be activated by a bulk export. 4 old article URLs pointing at /blog/ would be a many-to-one soft-404 pattern. Decide per-URL from real GSC data: rebuild the article, or let it 404 and retire."
https://degreecraft.com/universities/lovely-professional-university,https://education.skeure.com/universities/lovely-professional-university/,exact,hold-pending-verification,Identical slug on both sites HELD 2026-07-25: destination has no `verified` programme records (evidence/programme-ledger.csv is 0 verified / 44 stale / 23 unverified / 2 disputed). Redirecting legacy authority into an unverified destination would launder stale claims into the new domain. Activate only once the destination's records reach `verified`.
https://degreecraft.com/universities/manipal-university,https://education.skeure.com/universities/online-manipal-university/,closest-equivalent,hold-pending-verification,"Destination page is currently noindexed pending a 3-way entity split (MAHE / Manipal University Jaipur / Sikkim Manipal University), see evidence/claims-register.csv CLM-006. Do not activate this redirect until the destination is corrected and republished, or split into 3 destinations."
https://degreecraft.com/universities/amity-university,https://education.skeure.com/universities/amity-university-online/,exact,hold-pending-verification,HELD 2026-07-25: destination has no `verified` programme records (evidence/programme-ledger.csv is 0 verified / 44 stale / 23 unverified / 2 disputed). Redirecting legacy authority into an unverified destination would launder stale claims into the new domain. Activate only once the destination's records reach `verified`.
https://degreecraft.com/universities/chandigarh-university,https://education.skeure.com/universities/chandigarh-university-online/,exact,hold-pending-verification,HELD 2026-07-25: destination has no `verified` programme records (evidence/programme-ledger.csv is 0 verified / 44 stale / 23 unverified / 2 disputed). Redirecting legacy authority into an unverified destination would launder stale claims into the new domain. Activate only once the destination's records reach `verified`.
https://degreecraft.com/universities/chitkara-university,https://education.skeure.com/universities/chitkara-university-online/,exact,hold-pending-verification,"Destination programme list was trimmed from 8 to 2 confirmed programmes this session; content differs from the old page, but the redirect is still the correct 1:1 URL mapping. HELD 2026-07-25: destination has no `verified` programme records (evidence/programme-ledger.csv is 0 verified / 44 stale / 23 unverified / 2 disputed). Redirecting legacy authority into an unverified destination would launder stale claims into the new domain. Activate only once the destination's records reach `verified`."
https://degreecraft.com/universities/desh-bhagat-university,https://education.skeure.com/universities/desh-bhagat-university/,exact,hold-pending-verification,"Destination page is currently noindexed — zero UGC-DEB entitlement could be confirmed this session, see evidence/claims-register.csv CLM-008. Do not activate this redirect until the destination is corrected and republished."
https://degreecraft.com/universities/gla-university,https://education.skeure.com/universities/gla-university-online/,exact,hold-pending-verification,Destination programme list was trimmed from 8 to 5 confirmed programmes this session HELD 2026-07-25: destination has no `verified` programme records (evidence/programme-ledger.csv is 0 verified / 44 stale / 23 unverified / 2 disputed). Redirecting legacy authority into an unverified destination would launder stale claims into the new domain. Activate only once the destination's records reach `verified`.
https://degreecraft.com/universities/guru-kashi-university,https://education.skeure.com/universities/guru-kashi-university/,exact,hold-pending-verification,Identical slug on both sites HELD 2026-07-25: destination has no `verified` programme records (evidence/programme-ledger.csv is 0 verified / 44 stale / 23 unverified / 2 disputed). Redirecting legacy authority into an unverified destination would launder stale claims into the new domain. Activate only once the destination's records reach `verified`.
https://degreecraft.com/universities/jagat-guru-nanak-university,https://education.skeure.com/universities/jagat-guru-nanak-dev-psou/,closest-equivalent,hold-pending-verification,Slug differs; same institution (Jagat Guru Nanak Dev Punjab State Open University) HELD 2026-07-25: destination has no `verified` programme records (evidence/programme-ledger.csv is 0 verified / 44 stale / 23 unverified / 2 disputed). Redirecting legacy authority into an unverified destination would launder stale claims into the new domain. Activate only once the destination's records reach `verified`.
https://degreecraft.com/universities/mangalayatan-university,https://education.skeure.com/universities/mangalayatan-university-online/,exact,hold-pending-verification,HELD 2026-07-25: destination has no `verified` programme records (evidence/programme-ledger.csv is 0 verified / 44 stale / 23 unverified / 2 disputed). Redirecting legacy authority into an unverified destination would launder stale claims into the new domain. Activate only once the destination's records reach `verified`.
